frame.number	frame.time	tcp.analysis.ack_rtt
144	May 19, 2016 13:16:52.245016000	
145	May 19, 2016 13:16:52.245193000	
146	May 19, 2016 13:16:52.246045000	
147	May 19, 2016 13:16:52.250167000	
148	May 19, 2016 13:16:52.250174000	
149	May 19, 2016 13:16:52.251428000	
150	May 19, 2016 13:16:52.251530000	
151	May 19, 2016 13:16:52.252648000	
152	May 19, 2016 13:16:52.252722000	
153	May 19, 2016 13:16:52.252988000	
154	May 19, 2016 13:16:52.252989000	
155	May 19, 2016 13:16:52.253195000	
156	May 19, 2016 13:16:52.253382000	
157	May 19, 2016 13:16:52.254315000	
158	May 19, 2016 13:16:52.254415000	
159	May 19, 2016 13:16:52.254460000	
160	May 19, 2016 13:16:52.254743000	
161	May 19, 2016 13:16:52.254744000	
162	May 19, 2016 13:16:52.256420000	
163	May 19, 2016 13:16:52.256500000	
164	May 19, 2016 13:16:52.256575000	
165	May 19, 2016 13:16:52.257203000	
166	May 19, 2016 13:16:52.257205000	
167	May 19, 2016 13:16:52.257499000	
168	May 19, 2016 13:16:52.257500000	
169	May 19, 2016 13:16:52.257646000	
170	May 19, 2016 13:16:52.257782000	
171	May 19, 2016 13:16:52.258332000	
172	May 19, 2016 13:16:52.258335000	
173	May 19, 2016 13:16:52.258336000	
174	May 19, 2016 13:16:52.258337000	
175	May 19, 2016 13:16:52.258338000	
176	May 19, 2016 13:16:52.258345000	
177	May 19, 2016 13:16:52.258345000	
178	May 19, 2016 13:16:52.258726000	
179	May 19, 2016 13:16:52.258733000	
180	May 19, 2016 13:16:52.259810000	0.044388000
181	May 19, 2016 13:16:52.259813000	
182	May 19, 2016 13:16:52.259951000	
183	May 19, 2016 13:16:52.259954000	
184	May 19, 2016 13:16:52.260071000	
185	May 19, 2016 13:16:52.260073000	
186	May 19, 2016 13:16:52.260074000	
187	May 19, 2016 13:16:52.260079000	
188	May 19, 2016 13:16:52.262405000	0.007661000
189	May 19, 2016 13:16:52.262405000	0.005905000
190	May 19, 2016 13:16:52.262405000	0.005830000
191	May 19, 2016 13:16:52.263324000	
192	May 19, 2016 13:16:52.263376000	
193	May 19, 2016 13:16:52.263596000	0.006393000
194	May 19, 2016 13:16:52.263608000	0.006403000
195	May 19, 2016 13:16:52.263610000	0.006111000
